,Price,Rozmiar ekranu,Format HD / Rozdzielczość,Częstotliwość odświeżania ekranu,Technologia obrazu,Technologia i format HDR,Podświetlenie matrycy,Optymalizacja ruchu,Tuner,Podwójny tuner HD,Tryb gra / sport,Technologie dla graczy,Funkcje poprawy obrazu,Technologia 3D / Zakrzywiony ekran,Smart TV,System Smart,Wi-Fi,Łączność bezprzewodowa,Przeglądarka internetowa,Nagrywanie na USB,HbbTV,Funkcje Smart TV,Aplikacje Smart TV,Kompatybilność z asystentem głosowym,System i moc głośników,System dźwięku przestrzennego,Regulacja tonów,Korektor dźwięku,Technologie dźwięku,Menu w języku polskim,Telegazeta,Informacje dodatkowe,Liczba złączy HDMI,Liczba złączy USB,Złącze EURO,Czytnik kart pamięci,Złącze Ethernet (LAN),Wejście komponentowe,Złącze VGA,Cyfrowe wyjście optyczne,Cyfrowe wyjście koaksjalne,Złącze CI (Common Interface),Wyjście słuchawkowe,Seria (rok premiery),Kolor obudowy,Możliwość montażu na ścianie,Wymiary z podstawą (szer. x wys.x gł.),Wymiary bez podstawy (szer. x wys.x gł.),Szerokość podstawy,Waga z podstawą / bez podstawy,Klasa energetyczna SDR,Zużycie energii SDR,Klasa energetyczna HDR,Zużycie energii HDR,Rozdzielczość,Pobór mocy (tryb czuwania),Zasilanie,Wyposażenie,Akcesoria opcjonalne,Instrukcja użytkownika,Gwarancja,Szczegółowe warunki gwarancji,Nazwa producenta / importera,Kod producenta,Znak zgodności,Kontrast dynamiczny,Kontrast statyczny,Jasność ekranu,Czas reakcji matrycy,,Pobór mocy (max),Wzornictwo
Telewizor LG 50UP75003LF DVB-T2_HEVC,1699,50 cali / 126 cm,4K UHD / 3840 x 2160,50 Hz / 60 Hz,LED,"tak / HDR10, HLG (Hybrid Log-Gamma)",Direct LED,Refresh Rate 60 Hz,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S, DVB-S2, DVB-C, analogowy",nie,tak / tak,Auto Low Latency Mode (ALLM),"Active HDR, 4K Upscaler (Skalowanie), HDR Dynamic Tone Mapping,
 FILMMAKER MODE (Tryb Filmowca), tryb HGiG, HDR10 Pro, Image Enhancing",nie / nie,tak,LG webOS 6.0,tak,"Bluetooth, AirPlay 2, DLNA",tak,tak,tak,"Panel Domowy (Home Dashboard), Sklep LG (LG Content Store),
 Inteligentna platforma LG ThinQ AI (wymaga opcjonalnego pilota Magic), 
Apple HomeKit, Alerty Sportowe (Sport Alert), Inteligentne rekomendacje,
 Inteligentny dom (AI Home), Łączenie z telefonem","YouTube, Netflix, Amazon Prime","Asystent Google, Amazon Alexa",system 2.0 / 2 x 10 W,tak,tak,tak,"AI Sound (Inteligentna Kontrola Dźwięku), Bluetooth Audio, Bluetooth Surround Ready, Clear Voice (Czysty Głos), Dolby Digital, HDMI eARC, Wireless Sound Sync",tak,tak,"procesor 4-rdzeniowy, USB - zdjęcia, muzyka, film, SimpLink, Digital EPG, możliwość aktualizacji oprogramowania, możliwość użycia klawiatury i myszki (funkcje Smart)",2   (2x HDMI 2.0),1,nie,nie,tak,nie,nie,tak,nie,1,nie,LG Seria 7 / 2021,czarno-grafitowy,tak / VESA 200x200 mm,"113  x 71,9  x 23,5  cm","113  x 66,3  x 8,6  cm","103,4 cm","11,4 kg / 11,3 kg",G,"86 kWh/1000h = 52,46 zł za 1000h",G,"103 kWh/1000h = 62,83 zł za 1000h",3840 x 2160,"0,5 W",110 - 240 V 50/60 Hz,"pilot, podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna",pilot Magic AN-MR21,Pobierz,24 miesiące,Pobierz,LG Electronics Polska Sp. Z o.o.,50UP75003LF.AEU,DIGITALEUROPE Ultra HD,,,,,,,
Telewizor LG 55NANO753PR DVB-T2_HEVC,2299,55 cali / 139 cm,4K UHD / 3840 x 2160,50 Hz / 60 Hz,LED,"tak / HDR10, HLG (Hybrid Log-Gamma)",Direct LED,Refresh Rate 60 Hz,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S, DVB-S2, DVB-C, analogowy",nie,tak / tak,Auto Low Latency Mode (ALLM),"ekran NanoCell, 4K Active HDR, 4K Upscaler (Skalowanie), HDR 
Dynamic Tone Mapping, FILMMAKER MODE (Tryb Filmowca), tryb HGiG, HDR10 
Pro, Image Enhancing, α5 AI Processor 4K",nie / nie,tak,LG webOS 6.0,tak,"Bluetooth, AirPlay 2, DLNA",tak,tak,tak,"Sklep LG (LG Content Store),
 Inteligentna platforma LG ThinQ AI, Apple HomeKit, Alerty Sportowe 
(Sport Alert), Inteligentne rekomendacje, Inteligentny dom (AI Home), 
Łączenie z telefonem","YouTube, Netflix, Apple TV","Asystent Google, Amazon Alexa",system 2.0 / 2 x 10 W,tak,tak,tak,"AI Sound (Inteligentna Kontrola Dźwięku), Bluetooth Audio, Bluetooth Surround Ready, Clear Voice (Czysty Głos), HDMI eARC, Wireless Sound Sync",tak,tak,"procesor 4-rdzeniowy, sterowanie głosem, wyszukiwanie głosowe, USB - zdjęcia, muzyka, film, SimpLink, Digital EPG, TimeShift, możliwość aktualizacji oprogramowania, możliwość użycia klawiatury i myszki (funkcje Smart)",3   (3x HDMI 2.0),2,nie,nie,tak,nie,nie,tak,nie,1,nie,LG Nano75 / 2021,czarny,tak / VESA 300x300 mm,"123,5  x 77,4  x 23,2  cm","123,5  x 71,5  x 5,8  cm","95,1 cm","15 kg / 14,8 kg",G,"95 kWh/1000h = 57,95 zł za 1000h",G,"126 kWh/1000h = 76,86 zł za 1000h",3840 x 2160,"0,5 W",110 - 240 V 50/60 Hz,"2 baterie AA do pilota, podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna, pilot Magic AN-MR21N",,Pobierz,24 miesiące,Pobierz,LG Electronics Polska Sp. Z o.o.,55NANO753PR.AEU,DIGITALEUROPE Ultra HD,,,,,,,
Telewizor LG 65NANO863PA DVB-T2_HEVC,3299,65 cali / 164 cm,4K UHD / 3840 x 2160,100 Hz / 120 Hz,LED,"tak / HDR10, Dolby Vision, HLG (Hybrid Log-Gamma)",Edge LED (Local Dimming),Refresh Rate 120 Hz,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S, DVB-S2, DVB-C, analogowy",nie,tak / tak,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), AMD FreeSync","ekran NanoCell, ULTRA Luminance, 4K Cinema HDR, AMD FreeSync,
 Wide Viewing Angle (Szeroki Kąt Widzenia), HDR Dynamic Tone Mapping, 
Dolby Vision IQ, FILMMAKER MODE (Tryb Filmowca), tryb HGiG, HDR10 Pro, 
AI Picture, AI Upscaling (Inteligente skalowanie), α7 Gen4 Intelligent 
Processor, Image Enhancing",nie / nie,tak,LG webOS 6.0,tak,"Bluetooth, AirPlay 2, DLNA",tak,tak,tak,"Sklep LG (LG Content Store),
 Inteligentna platforma LG ThinQ AI, Galeria, Apple HomeKit, Alerty 
Sportowe (Sport Alert), Inteligentne rekomendacje, Inteligentny dom (AI 
Home), Łączenie z telefonem","YouTube, Netflix, Apple TV","Asystent Google, Amazon Alexa",system 2.0 / 2 x 10 W,tak,tak,tak,"AI Sound (Inteligentna Kontrola Dźwięku), Bluetooth Audio, Bluetooth Surround Ready, Clear Voice (Czysty Głos), Dolby Atmos, HDMI eARC, Wireless Sound Sync",tak,tak,"sterowanie głosem, wyszukiwanie głosowe, USB - zdjęcia, muzyka, film, SimpLink, Digital EPG, TimeShift, możliwość aktualizacji oprogramowania, możliwość użycia klawiatury i myszki (funkcje Smart)",4   (2x HDMI 2.1 / 2x HDMI 2.0),3,nie,nie,tak,nie,nie,tak,nie,1,tak,LG Nano86 / 2021,srebrny,tak / VESA 300x300 mm,"145,5  x 91,7  x 33,6  cm","145,5  x 83,9  x 4,4  cm","83,1 cm","26,2 kg / 24,5 kg",F,"95 kWh/1000h = 57,95 zł za 1000h",G,"173 kWh/1000h = 105,53 zł za 1000h",3840 x 2160,"0,5 W",110 - 240 V 50/60 Hz,"2 baterie AA do pilota, podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna, pilot Magic AN-MR21GA",,Pobierz,24 miesiące,Pobierz,LG Electronics Polska Sp. Z o.o.,65NANO863PA.AEU,DIGITALEUROPE Ultra HD,,,,,,,
Telewizor LG OLED55C11LB DVB-T2_HEVC,4699,55 cali / 139 cm,4K UHD / 3840 x 2160,100 Hz / 120 Hz,OLED,"tak / HDR10, Dolby Vision, HLG (Hybrid Log-Gamma)",OLED,OLED Motion Pro,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S2, DVB-C, analogowy",nie,tak / tak,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), AMD FreeSync, NVIDIA G-Sync","Perfect Colors, Perfect Black,
 4K Cinema HDR, Ultra Luminance Pro, HDR Dynamic Tone Mapping Pro 
(Dynamiczne Mapowanie Tonów), Dolby Vision IQ, FILMMAKER MODE (Tryb 
Filmowca), tryb HGiG, AI Picture Pro (Algorytm głębokiego uczenia), 
NVIDIA G-Sync, HDR10 Pro, AMD FreeSync Premium, α9 Gen4 Intelligent 
Processor, Game Optimizer (Optymalizator Gier), AI Upscaling 
(Inteligente skalowanie)",nie / nie,tak,LG webOS 6.0,tak,"Bluetooth, AirPlay 2",tak,tak,tak,"Inteligentna platforma LG ThinQ AI, Apple HomeKit, Alerty 
Sportowe (Sport Alert), Inteligentne rekomendacje, Inteligentny dom (AI 
Home), Łączenie z telefonem","YouTube, Netflix, Apple TV","Asystent Google, Amazon Alexa",system 2.2 / 2 x 10 W  + 2 x 10 W,,tak,tak,"AI Sound Pro (Inteligentna Kontrola Dźwięku), Bluetooth Audio, 
Clear Voice Pro (Czysty Głos), Dolby Atmos, Dolby Audio, HDMI eARC, Wireless Sound Sync",tak,tak,"procesor 4-rdzeniowy, sterowanie głosem, USB - zdjęcia, muzyka, film, SimpLink, Digital EPG, TimeShift, możliwość aktualizacji oprogramowania, możliwość użycia klawiatury i myszki (funkcje Smart)",4   (4x HDMI 2.1),3,nie,nie,tak,nie,nie,tak,nie,1,tak,LG OLED C1 / 2021,grafitowy,tak / VESA 300x200 mm,"122,8  x 73,8  x 25,1  cm","122,8  x 70,6  x 4,7  cm","99,8 cm","23 kg / 18,9 kg",G,"106 kWh/1000h = 64,66 zł za 1000h",G,"171 kWh/1000h = 104,31 zł za 1000h",3840 x 2160,"0,5 W",110 - 240 V 50/60 Hz,"podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna, pilot Magic AN-MR21N",,Pobierz,24 miesiące,Pobierz,LG Electronics Polska Sp. Z o.o.,OLED55C11LB.AEU,DIGITALEUROPE Ultra HD,Infinite,,,,,,
Telewizor Lin 32D1700 DVB-T2_HEVC,719,32 cale / 80 cm,HD Ready / 1366 x 768,50 Hz / 60 Hz,LED,nie / -,Direct LED,,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-C, analogowy",nie,-  / -,,"DNR - cyfrowa redukcja szumów, cyfrowy filtr grzebieniowy 3D",nie / nie,tak,Linux,tak,"DLNA, MHL / Mobile HD Link",nie,nie,nie,,"YouTube, Netflix",,system 2.0 / 2 x 5 W,,tak,tak,"AVL, Dolby Digital",tak,tak,"procesor 4-rdzeniowy, USB - zdjęcia, muzyka, film, Digital EPG, tryb hotelowy",2,2,nie,nie,tak,nie,nie,tak,nie,1,tak,/ 2017,czarny,tak / VESA 100x100 mm,"73,4  x 48  x 18,1  cm","73,4  x 43,8  x 9,3  cm",,"4,5 kg / 4,3 kg",F,"32 kWh/1000h = 19,52 zł za 1000h",,,1366 x 768,"0,5 W",220 - 240 V 50/60 Hz,"pilot, podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna",,,24 miesiące,Pobierz,LIN Polska Sp. z o.o.,,,,3000 :1,220 cd/m2,"6,5 ms","wbudowana pamięć 4GB, HDMI 1,4a, USB 2.0",,
Telewizor Lin 32LHD1510 DVB-T2_HEVC,615,32 cale / 80 cm,HD Ready / 1366 x 768,50 Hz / 60 Hz,LED,nie / -,Direct LED,,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-C, analogowy",nie,-  / -,,,nie / nie,nie,,nie,,nie,nie,nie,,,,system 2.0 / 2 x 5 W,Surround,nie,tak,,tak,tak,"USB - zdjęcia, muzyka, film, Digital EPG, tryb hotelowy",2,2,nie,nie,nie,tak,nie,nie,nie,1,tak,/ 2015,czarny,tak / VESA 100x100 mm,"72,5  x 48  x 17,9  cm","72,5  x 42,7  x 8,2  cm",,"4 kg / 3,6 kg",F,"32 kWh/1000h = 19,52 zł za 1000h",,,1366 x 768,"0,5 W",220 - 240 V 50/60 Hz,"pilot, podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna",,,24 miesiące,Pobierz,LIN Polska Sp. z o.o.,32LHD1510,,,3000 :1,220 cd/m2,"6,5 ms",,,
Telewizor Panasonic TX-55JX940E DVB-T2_HEVC,3499,55 cali / 139 cm,4K UHD / 3840 x 2160,100 Hz / 120 Hz,LED,"tak / HDR10, HDR10+, Dolby Vision, Dolby Vision IQ, HLG (Hybrid Log-Gamma)",Edge LED,Backlight Motion Rate 4K 2200 Hz IFC,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S2, DVB-C, analogowy",tak,tak / tak,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), High Frame Rate (HFR)","kalibracja obrazu isf, Local Dimming Pro, Wide Colour Spectrum (Szerokie Spektrum Kolorów),
 FILMMAKER MODE (Tryb Filmowca), HDR Cinema Display PRO, obsługa CalMAN,
 procesor HCX Pro AI, Auto AI for Picture (Automatyczna technologia AI 
obrazu)",nie / nie,tak,Panasonic my Home Screen 6.0,tak,"Bluetooth, Chromecast",tak,tak,tak,"Swipe & Share, Easy Mirroring, IP Home Control, my Scenery","YouTube, Netflix, Amazon Prime, Rakuten TV","Asystent Google, Amazon Alexa",system 2.0 / 2 x 10 W,Cinema Surround,nie,tak,"AVL, Bluetooth Audio, Dolby Atmos, HDMI eARC",tak,tak,"wyszukiwanie głosowe, USB - zdjęcia, muzyka, film, PIP - obraz w obrazie (2 tunery), VIERA Link, Digital EPG, możliwość aktualizacji oprogramowania",4   (2x HDMI 2.1 / 2x HDMI 2.0),3,nie,nie,tak,nie,nie,tak,nie,1,tak,Panasonic VIERA Seria JX940 / 2021,czarny,tak / VESA 300x300 mm,"123,1  x 77,8  x 27  cm","123,1  x 71,6  x 7,2  cm","53,6 cm","19,5 kg / 18,5 kg",G,"88 kWh/1000h = 53,68 zł za 1000h",G,"156 kWh/1000h = 95,16 zł za 1000h",3840 x 2160,"0,5 W",220 - 240 V 50/60 Hz,"instrukcja obsługi w języku polskim, karta gwarancyjna, pilot z mikrofonem, podstawa (możliwość regulacji)",,Pobierz,24 miesiące,Pobierz,Panasonic Marketing Europe GmbH Oddzial w Polsce,TX-55JX940E,DIGITALEUROPE Ultra HD,Supreme,,,,"obsługiwane formaty: AVI/HEVC/MKV/WMV/MP4/M4v/FLV/3GPP/VOB/TS/PS, MP3/AAC/WMA Pro/FLAC/WAV, JPEG",241 W,
Telewizor Philips 58PUS8506_12 DVB-T2_HEVC,3299,58 cali / 146 cm,4K UHD / 3840 x 2160,50 Hz / 60 Hz,LED,"tak / HDR10, HDR10+, Dolby Vision, HLG (Hybrid Log-Gamma)",Direct LED,,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S, DVB-S2, DVB-C, analogowy",nie,tak / nie,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), AMD FreeSync","Micro Dimming Pro, Ambilight: Trójstronny, Ultra Resolution, P5 Perfect Picture Engine, AMD FreeSync Premium, ISF Colour Management (Zarządzanie kolorami ISF)",nie / nie,tak,Android TV,tak,Bluetooth,tak,tak,tak,"system Android 10, Google Play Store, Simply Share","YouTube, Netflix, Amazon Prime, Rakuten TV","Asystent Google, Amazon Alexa",system 2.0 / 2 x 10 W,tak,tak,tak,"A.I. EQ (Korektor A.I.), AI Sound (Inteligentna Kontrola 
Dźwięku), Clear Dialogue (Wyraźnie dialogi), Dolby Atmos, Dolby Audio, 
Dolby Bass Enhancement (wzmocnienie basów Dolby), DTS Play-Fi, HDMI 
eARC, Mimi Sound Personalisation (Personalizacja dźwięku Mimi), tryb 
nocny",tak,tak,"procesor 4-rdzeniowy, wyszukiwanie głosowe, USB - zdjęcia, muzyka, film, EasyLink, Digital EPG, PVR - nagrywanie USB, możliwość aktualizacji oprogramowania, możliwość sterowania za pomocą smartfona i tabletu, tryb ECO",4   (4x HDMI 2.0),2,nie,nie,tak,nie,nie,tak,nie,1,tak,Philips Seria 8500 / 2021,srebrny,tak / VESA 200x300 mm,"129  x 82  x 25,6  cm",129  x 75  x 8  cm,70 cm,"20,2 kg / 17,4 kg",G,"90 kWh/1000h = 54,90 zł za 1000h",G,"121 kWh/1000h = 73,81 zł za 1000h",3840 x 2160,"0,5 W",220 - 240 V 50/60 Hz,"2 baterie AAA do pilota, podstawa (możliwość obrotu), 
instrukcja obsługi w języku polskim, karta gwarancyjna, pilot z 
mikrofonem",,Pobierz,24 miesiące,,Philips,58PUS8506/12,DIGITALEUROPE Ultra HD,,,,,"16GB wbudowana pamięć, wideo: AVI, MKV, H264/ MPEG-4 AVC, 
MPEG-1, MPEG-2, MPEG-4, WMV9/ VC1, VP9, HEVC (H.265), audio: AAC, MP3, 
WAV, WMA, WMA-PRO, zdjęcia: JPEG, BMP, GIF, PNG, 360 foto, HEIF",,
Telewizor Philips 65PUS9206_12 DVB-T2_HEVC,5499,65 cali / 164 cm,4K UHD / 3840 x 2160,100 Hz / 120 Hz,LED,"tak / HDR10, HDR10+, Dolby Vision, HLG (Hybrid Log-Gamma)",Direct LED,,"DVB-T (MPEG-4), DVB-T2 (HEVC), DVB-S, DVB-S2, DVB-C, analogowy",nie,tak / -,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), AMD FreeSync","Micro Dimming Pro, Perfect Natural Motion, czujnik światła, Ambilight: Czterostronny, Pixel Precise Ultra HD, Ultra Resolution, P5 Perfect Picture Engine, AMD FreeSync Premium, ISF Colour Management (Zarządzanie kolorami ISF), tryb A.I. PQ, obsługa CalMAN",nie / nie,tak,Android TV (Android 10),tak,Bluetooth,tak,tak,tak,"system Android 10, Google Play Store, Google Cast, Simply Share","YouTube, Netflix, Amazon Prime, Rakuten TV","Asystent Google, Amazon Alexa",system 2.1 / 2 x 10 W + 30 W,tak,tak,tak,"A.I. EQ (Korektor A.I.), AI Sound (Inteligentna Kontrola Dźwięku), AVL,
 Bluetooth Audio, Clear Dialogue (Wyraźnie dialogi), Dolby Atmos, Dolby 
Audio, Dolby Bass Enhancement (wzmocnienie basów Dolby), DTS HD, DTS 
Play-Fi, HDMI eARC, Mimi Sound Personalisation (Personalizacja dźwięku 
Mimi), tryb nocny",tak,tak,"procesor 4-rdzeniowy, sterowanie głosem, USB - zdjęcia, muzyka, film, EasyLink, Digital EPG, możliwość aktualizacji oprogramowania, możliwość sterowania za pomocą smartfona i tabletu",4   (2x HDMI 2.1 / 2x HDMI 2.0),3,nie,nie,tak,nie,nie,tak,nie,1,tak,Philips Seria 9200 / 2021,srebrny,tak / VESA 300x300 mm,"144,9  x 85,8  x 32,7  cm","144,9  x 83,4  x 8,4  cm","80,3 cm","25,6 kg / 24,9 kg",F,"99 kWh/1000h = 60,39 zł za 1000h",G,"200 kWh/1000h = 122,00 zł za 1000h",3840 x 2160,"0,3 W",220 - 240 V 50/60 Hz,"2 baterie AAA do pilota, instrukcja obsługi w języku polskim, 
karta gwarancyjna, pilot z mikrofonem, podstawa (możliwość regulacji)",,Pobierz,24 miesiące,,Philips,65PUS9206/12,DIGITALEUROPE Ultra HD,,,,,"dostępna pamięć 16GB, odtwarzanie wideo: AVI, MKV, H264/MPEG-4 
AVC, MPEG-1, MPEG-2, MPEG-4, HEVC (H.265),VP9, AV1, muzyka: AAC, MP3, 
WAV, WMA, WMA-PRO, zdjęcia:  JPEG, BMP, GIF, PNG, 360 photo, HEIF",,
Telewizor Samsung QLED QE55Q77AAT DVB-T2_HEVC,2999,55 cali / 139 cm,4K UHD / 3840 x 2160,100 Hz / 120 Hz,"QLED, LED","tak / HDR10, HDR10+, HLG (Hybrid Log-Gamma)",Edge LED (Dual LED),Picture Quality Index 3500,"DVB-T2 (HEVC), DVB-S2, DVB-C, analogowy",tak,tak / nie,"Auto Low Latency Mode (ALLM), Variable Refresh Rate (VRR), AMD FreeSync","Contrast Enhancer (Wzmacniacz Kontrastu), Ultimate UHD Dimming,
 Quantum HDR, Procesor Quantum 4K, Wide Viewing Angle (Szeroki Kąt 
Widzenia), Dual LED, 100% Color Volume with Quantum Dot (100% Natężenie 
Kolorów), FILMMAKER MODE (Tryb Filmowca), AMD FreeSync Premium Pro, 
czujnik światła i koloru",nie / nie,tak,Samsung Tizen 6.0,tak,"Bluetooth, AirPlay, DLNA, Wi-Fi Direct",tak,tak,tak,"SmartThings,
 Multi-view, Galeria, Dotknij i wyświetl, PC on TV (PC na ekranie TV), 
Mobile to TV - Mirroring (Urządzenie mobilne do TV), Muzyczna ściana, 
Wirtualny Asystent","YouTube, Netflix",Bixby,system 2.0 / 20 W,tak,tak,tak,"Adaptive Sound+ (funkcja Adaptacji Dźwięku+), Audio Pre-selection Descriptor, Dolby Digital Plus, HDMI eARC, Multiroom Link, Object Tracking Sound Lite (Dźwięk Podążający za Obiektem Lite), Q-Symphony",tak,tak,"wyszukiwanie głosowe, USB - zdjęcia, muzyka, film, Digital EPG, możliwość aktualizacji oprogramowania, możliwość użycia klawiatury i myszki (funkcje Smart), Anynet+, Tryb Ambient+","4   (1x HDMI 2.1, 3x HDMI 2.0)",2,nie,nie,tak,nie,nie,tak,nie,1,nie,Samsung Seria Q7 / 2021,tytanowo-czarny,tak / VESA 200x200 mm,"123,4  x 77,5  x 24,7  cm","123,4  x 70,9  x 2,6  cm",29 cm,"17,8 kg / 15,5 kg",F,"77 kWh/1000h = 46,97 zł za 1000h",G,"150 kWh/1000h = 91,50 zł za 1000h",3840 x 2160,"0,5 W",220 - 240 V 50/60 Hz,"podstawa, instrukcja obsługi w języku polskim, karta gwarancyjna, pilot SolarCell TM2180E",,Pobierz,24 miesiące,Pobierz,Samsung Electronics Polska Sp. z o.o.,QE55Q77AATXXH,DIGITALEUROPE Ultra HD,Mega,,,,"USB HID, Bluetooth HID",205 W,AirSlim
