,Price,Resolution,Direct LED,Tuners number,Double Tuner,Android 10,Wi-Fi Direct,Number_Of_Available_Assistants,Total_speakers_power,HDMI slots number,HDMI 2.1 slots,Remote controller with mic,Power consumption,Energy consumption class
Telewizor LG 50UP75003LF DVB-T2_HEVC,1699,4K UHD,1,6,0,0,0,2,20,2,0,0,160.33333333333334,G
Telewizor LG 55NANO753PR DVB-T2_HEVC,2299,4K UHD,1,6,0,0,0,2,20,3,0,0,160.33333333333334,G
Telewizor LG 65NANO863PA DVB-T2_HEVC,3299,4K UHD,0,6,0,0,0,2,20,4,1,0,160.33333333333334,F
Telewizor LG OLED55C11LB DVB-T2_HEVC,4699,4K UHD,0,5,0,0,0,2,40,4,1,0,160.33333333333334,G
Telewizor Lin 32D1700 DVB-T2_HEVC,719,HD Ready,1,4,0,0,0,0,10,2,0,0,160.33333333333334,F
Telewizor Lin 32LHD1510 DVB-T2_HEVC,615,HD Ready,1,4,0,0,0,0,10,2,0,0,160.33333333333334,F
Telewizor Panasonic TX-55JX940E DVB-T2_HEVC,3499,4K UHD,0,5,1,0,0,2,20,4,1,1,241.0,G
Telewizor Philips 58PUS8506_12 DVB-T2_HEVC,3299,4K UHD,1,6,0,0,0,2,20,4,0,1,160.33333333333334,G
Telewizor Philips 65PUS9206_12 DVB-T2_HEVC,5499,4K UHD,1,6,0,1,0,2,50,4,1,1,160.33333333333334,F
Telewizor Samsung QLED QE55Q77AAT DVB-T2_HEVC,2999,4K UHD,0,4,1,0,1,1,20,4,1,0,205.0,F
Telewizor Samsung The Frame QE55LS03AAU QLED TV DVB-T2_HEVC,3190,4K UHD,0,4,0,0,1,3,40,4,1,0,170.0,G
Telewizor Samsung UE43AU8002K DVB-T2_HEVC,1839,4K UHD,0,3,0,0,1,0,20,3,0,0,160.33333333333334,G
Telewizor Samsung UE43TU7022K DVB-T2_HEVC,1499,4K UHD,0,3,0,0,1,0,20,2,0,0,125.0,G
Telewizor Sharp 43BL5EA DVB-T2_HEVC,1549,4K UHD,1,6,0,0,0,1,20,3,0,1,115.0,G
Telewizor Sharp 50DL3EA DVB-T2_HEVC,1699,4K UHD,1,6,0,0,0,1,20,4,0,1,115.0,G
Telewizor Sharp 70CL5EA DVB-T2_HEVC,2999,4K UHD,1,6,0,0,0,1,35,4,0,1,245.0,G
Telewizor Sony KD-65X89J DVB-T2_HEVC,4699,4K UHD,1,6,0,1,0,1,20,4,1,1,263.0,G
Telewizor Sony XR-55X90J DVB-T2_HEVC,4499,4K UHD,1,6,1,1,0,1,20,4,1,1,160.33333333333334,G
Telewizor Sony XR-65X90J DVB-T2_HEVC,5299,4K UHD,1,6,1,1,0,1,20,4,1,1,160.33333333333334,G
Telewizor TCL 40S615 DVB-T2_HEVC,1299,Full HD,1,4,0,0,0,1,10,2,0,0,100.0,E
Telewizor TCL 43P615 DVB-T2_HEVC,1599,4K UHD,1,4,0,0,0,2,16,2,0,0,110.0,E
Telewizor TCL 50P610 DVB-T2_HEVC,1799,4K UHD,1,4,0,0,0,1,16,3,0,0,130.0,F
Telewizor Xiaomi Mi LED TV P1 43' (L43M6-6AEU) DVB-T2_HEVC,1799,4K UHD,1,3,0,1,1,1,20,3,0,1,105.0,G
